center_latitude,center_longitude,cluster_label
-38.150404,176.251013,4
-37.766451,175.484486,4
45.504563,-73.554307,2
42.218393,-97.285515,2
58.51801,-4.730335,0
42.364987,-71.054172,2
42.278152,-71.028263,2
49.387752,23.097333,0
37.96183,23.55146,0
51.803398,-2.109411,0
51.847549,-1.371704,0
-17.67327,-149.493154,3
52.311578,-1.595635,0
50.491613,4.537372,0
52.583432,-1.454694,0
48.301489,8.136245,0
-21.980539,-44.936121,3
43.595557,-117.387863,2
40.696068,-73.992825,2
56.27972,17.081049,0
68.696525,26.880322,0
39.871351,-75.232775,2
48.553008,9.343435,0
29.584626,104.108694,1
53.12258,8.146892,0
50.990931,41.132475,0
39.904593,116.390416,1
8.738727,16.820744,3
43.648098,-79.370686,2
34.613475,-88.1197,2
38.887701,-111.3335,2
25.737413,68.789284,1
37.821676,-85.938742,2
34.62284,-84.971842,2
43.389765,-1.232892,0
52.619365,-2.224726,0
56.589505,-5.288009,0
-24.082115,122.984657,4
43.151981,-79.064211,2
43.745241,18.327703,0
37.803281,29.045745,0
44.611534,40.243392,0
50.206247,-5.073601,0
48.856472,2.334367,0
44.601807,33.560968,0
36.759328,-97.038308,2
51.505541,-0.182509,0
41.141045,-8.603717,0
48.48556,5.067678,0
51.515708,-0.121725,0
57.176346,-4.636515,0
14.846836,40.682319,1
36.862509,10.3128,0
-1.823692,24.302844,3
39.457624,-77.7327,2
53.079468,-1.124701,0
50.155376,13.964015,0
37.971715,23.728749,0
56.850805,-4.897406,0
41.260718,-8.138409,0
52.860562,-2.124214,0
47.14606,22.632212,0
58.780366,12.793235,0
-3.513623,39.598794,3
40.852677,14.259771,0
38.900102,-76.703188,2
51.512191,-0.098983,0
45.292062,5.5089,0
-4.75959,34.091841,3
45.745005,4.231617,0
16.37316,-15.064995,3
32.753444,-79.889369,2
39.285729,-76.591965,2
51.140461,-0.934473,0
19.50312,-78.82429,2
48.804373,2.124937,0
17.231421,55.095063,1
38.671144,33.793999,0
17.405124,52.590617,1
38.823256,-77.535382,2
